房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,小区名称,所在区域,二级区域,单价(元/平米),总价(万元)
3室2厅1厨2卫,中楼层 (共12层),121.24㎡,暂无数据,暂无数据,平房,南,砖混结构,毛坯,两梯六户,有,70年,2019/4/25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,东城御峰花园,清城区,清城,7094,86
3室1厅1厨2卫,高楼层 (共23层),128㎡,暂无数据,暂无数据,板塔结合,北,钢混结构,毛坯,两梯五户,有,70年,2019/5/1,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,恒利阳光新城,清新区,清新,6641,85
3室2厅1厨2卫,低楼层 (共31层),126㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,三梯六户,有,70年,2019/5/1,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元 工商银行 客户偿还,未上传房本照片,城市花园牡丹苑,清城区,新城,7143,90
3室2厅1厨2卫,高楼层 (共26层),105㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,三梯五户,有,70年,2019/5/3,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,嘉特美公馆,清新区,清新,6267,65.8
3室2厅1厨3卫,中楼层 (共24层),147㎡,暂无数据,暂无数据,塔楼,东北 西北,钢混结构,简装,两梯四户,有,70年,2019/5/3,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,云山诗意花园一期,清城区,横荷,8844,130
4室2厅1厨2卫,高楼层 (共30层),151㎡,暂无数据,暂无数据,暂无数据,东北,混合结构,其他,两梯六户,有,70年,2019/5/5,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,帝景豪园,清城区,新城,8345,126
2室1厅1厨1卫,中楼层 (共18层),80㎡,暂无数据,暂无数据,板塔结合,西南,钢混结构,精装,三梯十二户,有,70年,2019/5/7,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,美林湖怡景湾,清城区,清城,9375,75
3室2厅1厨2卫,高楼层 (共32层),135㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯三户,有,70年,2019/5/7,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,东方天城,清城区,新城,9038,122
3室2厅1厨2卫,低楼层 (共28层),112㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯五户,有,70年,2019/5/8,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,万豪水晶湾二期,清城区,横荷,9197,103
4室2厅1厨2卫,低楼层 (共24层),132㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯五户,有,70年,2019/5/8,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,万商豪苑二期,清城区,城西商贸区,8485,112
3室2厅1厨2卫,高楼层 (共28层),137㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯五户,有,70年,2019/5/11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,凯旋花园,清城区,新城,9198,126
3室2厅1厨2卫,高楼层 (共28层),137㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯五户,有,70年,2019/5/11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,凯旋花园,清城区,新城,9344,128
3室2厅1厨2卫,高楼层 (共39层),130㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,70年,2019/5/17,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,东方天城,清城区,新城,9539,124
3室2厅1厨2卫,中楼层 (共31层),127.64㎡,暂无数据,暂无数据,板楼,北,钢混结构,毛坯,三梯六户,有,70年,2019/5/22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,城市花园牡丹苑,清城区,新城,9010,115
3室2厅1厨2卫,高楼层 (共24层),140.5㎡,暂无数据,暂无数据,暂无数据,北,未知结构,其他,两梯六户,有,70年,2019/5/22,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,中兴豪庭,清城区,横荷,6086,85.5
3室2厅1厨2卫,中楼层 (共28层),110㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,十二梯四户,有,70年,2019/5/25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,新亚时代城,清新区,清新,7773,85.5
8室3厅1厨3卫,高楼层 (共17层),305.82㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯三户,有,70年,2019/5/26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,碧水康桥花园,清城区,城西商贸区,5069,155
4室2厅1厨2卫,高楼层 (共28层),130.44㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,70年,2019/5/26,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,凤迪豪庭,清城区,新城,7514,98
3室2厅1厨3卫,中楼层 (共16层),133.5㎡,暂无数据,暂无数据,板塔结合,南 北,未知结构,精装,两梯四户,有,70年,2019/5/27,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,弘福花园,清城区,新城,8090,108
3室2厅1厨2卫,高楼层 (共28层),130㎡,暂无数据,暂无数据,板楼,北,混合结构,毛坯,两梯三户,有,70年,2019/5/27,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,新亚时代城,清新区,清新,7000,91
4室2厅1厨2卫,高楼层 (共18层),118.71㎡,暂无数据,100.97㎡,塔楼,西北,钢混结构,精装,三梯五户,有,70年,2019/5/31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,天美小岛,清城区,清城,21060,250
3室2厅1厨2卫,高楼层 (共9层),110㎡,暂无数据,暂无数据,暂无数据,北 南,未知结构,其他,一梯四户,暂无数据,70年,2019/6/2,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,清远市中级人民法院宿舍小区,清城区,新城,5800,63.8
3室2厅1厨3卫,低楼层 (共7层),140㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,一梯两户,暂无数据,70年,2019/6/5,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,瑞枫花园,清新区,清新,7500,105
4室2厅1厨3卫,低楼层 (共33层),177.54㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯四户,有,70年,2019/6/5,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 45万元 未知 金融公司垫资,未上传房本照片,朝南维港半岛,清城区,新城,11266,200
3室2厅1厨2卫,高楼层 (共25层),126㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,一梯四户,有,70年,2019/6/8,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,凤城明珠,清城区,横荷,8016,101
3室2厅1厨2卫,低楼层 (共17层),102㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,两梯五户,有,70年,2019/6/12,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,碧水华庭,清新区,清城,7236,73.8
3室2厅1厨2卫,高楼层 (共30层),110.85㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯六户,有,70年,2019/6/16,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,天湖郦都,清城区,樵顺生活圈,8300,92
3室2厅1厨1卫,高楼层 (共15层),106㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,毛坯,两梯四户,有,70年,2019/6/16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,东城御峰花园,清城区,清城,7434,78.8
3室2厅1厨2卫,高楼层 (共32层),126㎡,暂无数据,暂无数据,暂无数据,东,未知结构,毛坯,两梯四户,有,70年,2019/6/17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,东方明珠花园,清城区,清城,8334,105
3室2厅1厨2卫,低楼层 (共30层),111㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,三梯六户,有,70年,2019/6/17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,天湖郦都,清城区,樵顺生活圈,9190,102
4室2厅1厨3卫,中楼层 (共30层),247㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯两户,有,70年,2019/6/18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,蓝湾豪庭,清城区,新城,7936,196
3室2厅1厨2卫,低楼层 (共31层),113.9㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,其他,两梯四户,有,70年,2019/6/19,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,云山诗意花园一期,清城区,横荷,9641,109.8
3室2厅1厨2卫,低楼层 (共31层),135㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,其他,两梯三户,有,70年,2019/6/20,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,万基金海湾豪庭B区,清城区,新城,8149,110
3室2厅1厨2卫,低楼层 (共25层),117.75㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,70年,2019/6/21,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,清远奥园,清城区,清城,6795,80
4室2厅1厨2卫,中楼层 (共18层),146.8㎡,暂无数据,暂无数据,平房,南,砖木结构,精装,一梯四户,暂无数据,70年,2019/6/22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,凯旋城,清新区,清新,7494,110
3室2厅1厨2卫,高楼层 (共12层),85㎡,暂无数据,暂无数据,平房,南,砖混结构,毛坯,两梯六户,有,70年,2019/6/23,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,东城御峰花园,清城区,清城,8236,70
2室2厅1厨2卫,中楼层 (共32层),87㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,其他,两梯六户,有,70年,2019/6/24,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,御景湖畔,清城区,清城,8046,70
4室2厅1厨3卫,低楼层 (共30层),168㎡,暂无数据,暂无数据,平房,南,钢混结构,毛坯,两梯三户,有,70年,2019/6/24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,清华,清城区,清城,9405,158
3室2厅1厨2卫,高楼层 (共12层),121.5㎡,暂无数据,暂无数据,平房,南,砖混结构,其他,两梯六户,有,70年,2019/6/24,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,东城御峰花园,清城区,清城,8231,100
3室2厅1厨2卫,中楼层 (共23层),112㎡,暂无数据,暂无数据,塔楼,北,钢混结构,其他,两梯四户,有,70年,2019/6/24,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,世纪花城,清城区,横荷,7590,85
3室2厅1厨2卫,中楼层 (共20层),133㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,毛坯,两梯四户,有,70年,2019/6/25,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元,未上传房本照片,凤城明珠,清城区,横荷,7805,103.8
3室2厅1厨2卫,高楼层 (共30层),137㎡,暂无数据,暂无数据,暂无数据,南,框架结构,毛坯,两梯四户,有,70年,2019/6/26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,金海湾豪庭,清城区,新城,8395,115
3室2厅1厨2卫,低楼层 (共32层),132㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,70年,2019/6/29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,东方天城,清城区,新城,10228,135
3室2厅1厨2卫,高楼层 (共31层),109㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,两梯四户,有,70年,2019/6/29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 36万元,未上传房本照片,加州花园,清城区,清城,8716,95
4室2厅1厨2卫,低楼层 (共29层),129㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,两梯四户,有,70年,2019/7/1,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,湖景湾东区,清城区,清城,7907,102
3室2厅1厨2卫,低楼层 (共21层),137.06㎡,暂无数据,暂无数据,暂无数据,北,未知结构,毛坯,两梯两户,有,70年,2019/7/1,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,恒祥华苑,清城区,清城,8500,116.5
2室2厅1厨1卫,高楼层 (共18层),82㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,三梯十二户,有,70年,2019/7/4,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,美林湖水镇K区,清城区,清城,9635,79
2室2厅1厨1卫,低楼层 (共18层),80.21㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,三梯十二户,有,70年,2019/7/6,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖怡景湾,清城区,清城,9102,73
3室2厅1厨2卫,高楼层 (共29层),94㎡,暂无数据,暂无数据,暂无数据,东北,未知结构,毛坯,两梯五户,有,70年,2019/7/6,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 26万元 客户偿还,未上传房本照片,海港城,清城区,清城,8809,82.8
3室2厅1厨1卫,低楼层 (共26层),89㎡,暂无数据,暂无数据,平房,西北 北,钢混结构,毛坯,两梯六户,有,70年,2019/7/8,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,广盈美苑,清城区,清城,8630,76.8
4室2厅1厨2卫,低楼层 (共34层),112㎡,暂无数据,暂无数据,平房,南,钢混结构,精装,两梯六户,有,70年,2019/7/8,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,时代倾城西区,清城区,清城,8215,92
3室2厅1厨2卫,中楼层 (共16层),141.06㎡,暂无数据,暂无数据,暂无数据,西北,未知结构,精装,两梯六户,有,70年,2019/7/10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖水镇K区,清城区,清城,8366,118
3室2厅1厨3卫,中楼层 (共26层),144㎡,暂无数据,暂无数据,暂无数据,北,未知结构,毛坯,两梯三户,有,70年,2019/7/12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,新亚君悦湾,清城区,城西商贸区,9028,130
3室2厅1厨2卫,低楼层 (共16层),142㎡,暂无数据,暂无数据,暂无数据,西,未知结构,精装,三梯六户,有,70年,2019/7/13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元 中国银行 客户偿还,未上传房本照片,美林湖水镇K区,清城区,清城,10564,150
2室2厅1厨2卫,高楼层 (共19层),75.58㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,精装,三梯十二户,有,70年,2019/7/14,商品房,暂无数据,普通住宅,暂无数据,暂无数据,无抵押,未上传房本照片,美汇半岛,清城区,清城,9924,75
3室2厅1厨2卫,低楼层 (共18层),120㎡,暂无数据,暂无数据,板塔结合,北,钢混结构,毛坯,两梯四户,有,70年,2019/7/15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,御景豪庭,清新区,清新,8500,102
3室2厅1厨2卫,高楼层 (共18层),103㎡,暂无数据,暂无数据,塔楼,西,钢混结构,精装,三梯五户,有,70年,2019/7/15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,天美小岛,清城区,清城,11651,120
3室2厅1厨2卫,高楼层 (共32层),111.16㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,毛坯,两梯五户,有,70年,2019/7/17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,御景东方一期,清城区,清城,7107,79
3室2厅1厨2卫,高楼层 (共32层),116.5㎡,暂无数据,暂无数据,暂无数据,南,框架结构,毛坯,一梯四户,暂无数据,70年,2019/7/19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 50万元,未上传房本照片,金海湾豪庭,清城区,新城,8155,95
3室2厅1厨2卫,高楼层 (共16层),150㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯三户,有,70年,2019/7/19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,美林宏景新城,清新区,清城,8467,127
3室2厅1厨2卫,高楼层 (共28层),127.5㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,一梯六户,暂无数据,70年,2019/7/20,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,嘉馨商务名苑,清城区,新城,7059,90
2室2厅1厨1卫,低楼层 (共15层),110㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,精装,两梯四户,有,70年,2019/7/20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,美林湖贝沙湾,清城区,石角,8364,92
3室2厅1厨2卫,中楼层 (共25层),117.79㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,70年,2019/7/20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,现代城,清城区,清城,8066,95
3室2厅1厨2卫,低楼层 (共16层),139.33㎡,暂无数据,119.13㎡,塔楼,东北,钢混结构,精装,两梯六户,有,70年,2019/7/21,商品房,2018/1/22,普通住宅,未满两年,共有,暂无数据,已上传房本照片,美汇半岛,清城区,清城,7178,100
3室2厅1厨2卫,低楼层 (共25层),116.07㎡,暂无数据,暂无数据,板楼,南,框架结构,其他,两梯四户,有,70年,2019/7/22,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,现代城,清城区,清城,8530,99
4室3厅1厨3卫,中楼层 (共8层),187㎡,暂无数据,暂无数据,板楼,西北,钢混结构,简装,两梯两户,有,70年,2019/7/22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,金龙楼,清城区,新城,4546,85
3室2厅1厨2卫,高楼层 (共16层),137㎡,暂无数据,暂无数据,暂无数据,东北,钢混结构,精装,两梯六户,有,70年,2019/7/23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖水镇K区,清城区,清城,8760,120
3室2厅1厨2卫,中楼层 (共16层),140㎡,暂无数据,暂无数据,暂无数据,西南,钢混结构,精装,两梯六户,有,70年,2019/7/23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖水镇K区,清城区,清城,8572,120
4室2厅1厨1卫,高楼层 (共34层),112㎡,暂无数据,暂无数据,平房,西南,钢混结构,精装,两梯六户,有,70年,2019/7/23,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 客户偿还,未上传房本照片,时代倾城西区,清城区,清城,8304,93
4室2厅1厨2卫,中楼层 (共29层),130㎡,暂无数据,暂无数据,暂无数据,北,未知结构,毛坯,两梯四户,有,70年,2019/7/25,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,汇丰花园,清城区,樵顺生活圈,8462,110
2室2厅1厨1卫,中楼层 (共19层),75㎡,暂无数据,暂无数据,暂无数据,东,未知结构,其他,两梯十二户,有,70年,2019/7/25,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,美林湖汇泉湾,清城区,石角,9600,72
3室2厅1厨3卫,高楼层 (共9层),137㎡,暂无数据,暂无数据,暂无数据,西北,未知结构,简装,一梯两户,暂无数据,70年,2019/7/26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,牛皇庙,清城区,清城,3782,51.8
3室2厅1厨2卫,中楼层 (共18层),137㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,两梯六户,有,70年,2019/7/26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖汇泉湾,清城区,石角,8395,115
3室2厅1厨2卫,低楼层 (共12层),112㎡,暂无数据,暂无数据,板楼,西北,钢混结构,其他,两梯四户,有,70年,2019/7/26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,晟禾.汇江花园,清城区,新城,7768,87
4室2厅1厨3卫,低楼层 (共2层),188㎡,,暂无数据,,西北,框架结构,毛坯,,,70年,2019/7/27,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,恒大金碧天下锦绣区,清新区,清新,6649,125
3室2厅1厨2卫,低楼层 (共18层),110㎡,暂无数据,暂无数据,暂无数据,西南,未知结构,精装,两梯三户,有,70年,2019/7/27,商品房,暂无数据,普通住宅,暂无数据,暂无数据,有抵押,未上传房本照片,美湖花园,清城区,石角,8637,95
3室2厅1厨2卫,中楼层 (共32层),97.63㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯六户,有,70年,2019/7/28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 35万元 建设银行 业主自还,未上传房本照片,朝南凯旋汇,清城区,新城,8707,85
3室2厅1厨2卫,高楼层 (共31层),110㎡,暂无数据,暂无数据,塔楼,东,钢混结构,毛坯,两梯五户,有,70年,2019/7/28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,朝南维港新天地,清城区,新城,9819,108
3室2厅1厨2卫,高楼层 (共18层),140.79㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,三梯六户,有,70年,2019/7/28,商品房,暂无数据,普通住宅,暂无数据,暂无数据,有抵押,未上传房本照片,美林湖怡景湾,清城区,清城,9234,130
4室2厅1厨2卫,中楼层 (共34层),112㎡,暂无数据,暂无数据,平房,西南,钢混结构,简装,两梯六户,有,70年,2019/7/30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,时代倾城西区,清城区,清城,8483,95
2室2厅1厨1卫,中楼层 (共16层),110㎡,暂无数据,暂无数据,暂无数据,西北,未知结构,精装,两梯四户,有,70年,2019/7/30,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,美林湖贝沙湾,清城区,石角,8364,92
3室2厅1厨2卫,中楼层 (共32层),135㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,70年,2019/8/1,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,东方天城,清城区,新城,9556,129
3室2厅1厨3卫,低楼层 (共11层),136㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,两梯两户,有,70年,2019/8/1,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,凯旋花园,清城区,新城,7721,105
3室2厅1厨2卫,低楼层 (共16层),132.93㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,两梯四户,有,70年,2019/8/2,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,美林湖贝沙湾,清城区,石角,9178,122
4室2厅1厨2卫,中楼层 (共11层),139.5㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,一梯四户,有,70年,2019/8/4,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,世纪广场,清城区,横荷,7026,98
5室3厅1厨4卫,高楼层 (共12层),272㎡,暂无数据,暂无数据,平房,南,钢混结构,简装,一梯两户,暂无数据,70年,2019/8/5,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,金色家园,清新区,清城,6177,168
5室2厅1厨2卫,中楼层 (共29层),144.38㎡,暂无数据,暂无数据,平房,南,钢混结构,其他,两梯四户,有,70年,2019/8/5,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,汇丰花园,清城区,樵顺生活圈,10201,147.3
4室2厅1厨2卫,高楼层 (共33层),176㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯五户,有,70年,2019/8/5,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,朝南维港半岛,清城区,新城,11364,200
4室2厅1厨2卫,低楼层 (共29层),131.69㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,两梯四户,有,70年,2019/8/5,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,汇丰花园,清城区,樵顺生活圈,7974,105
4室2厅1厨2卫,中楼层 (共12层),102㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,一梯四户,暂无数据,70年,2019/8/6,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,国赋园住宅,清城区,新城,8824,90
2室2厅1厨2卫,高楼层 (共25层),89㎡,暂无数据,暂无数据,塔楼,北,钢混结构,其他,两梯四户,有,70年,2019/8/6,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,清远奥园,清城区,清城,7079,63
2室2厅1厨1卫,中楼层 (共28层),83㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,一梯四户,暂无数据,70年,2019/8/7,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 X,未上传房本照片,金海湾豪庭,清城区,新城,8651,71.8
2室1厅1厨1卫,低楼层 (共8层),78.15㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,一梯两户,暂无数据,70年,2019/8/8,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,建设路南22号,清新区,清新,6117,47.8
3室2厅1厨2卫,中楼层 (共25层),113㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯六户,有,70年,2019/8/9,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,时代倾城,清城区,清城,8408,95
3室2厅1厨1卫,中楼层 (共11层),145.02㎡,暂无数据,暂无数据,塔楼,北,钢混结构,其他,一梯两户,有,70年,2019/8/9,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,碧水康桥花园,清城区,城西商贸区,7448,108
3室2厅1厨2卫,中楼层 (共31层),117.36㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,两梯五户,有,70年,2019/8/9,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,和富一品,清城区,清城,10992,129
3室2厅1厨2卫,中楼层 (共13层),110㎡,暂无数据,暂无数据,暂无数据,西南,未知结构,精装,两梯四户,有,70年,2019/8/10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,美湖花园,清城区,石角,7273,80
3室2厅1厨2卫,中楼层 (共19层),117㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,两梯四户,有,70年,2019/8/10,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,金茂家园,清城区,新城,7693,90
4室2厅1厨2卫,高楼层 (共17层),177.12㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,一梯六户,暂无数据,70年,2019/8/13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,领秀瑞城,清新区,清新,6663,118
4室2厅1厨2卫,高楼层 (共9层),160.6㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2019/8/14,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,御景东方一期,清城区,清城,7161,115
4室2厅1厨3卫,中楼层 (共30层),170.18㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,两梯三户,有,70年,2019/8/14,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片,清华,清城区,清城,8932,152
